theoretical_quantile_t,sample_quantile,reference_line
-1.3209105113753836,-1.118341423676165,-1.0635753015256413
-1.3190046651340888,-1.1182704848413985,-1.0620455159518256
-1.3171031355699732,-1.117962076175999,-1.060519195290516
-1.3152058998062954,-1.1168197429951598,-1.0589963211789983
-1.3133129351428894,-1.1165680657513497,-1.0574768753962926
-1.3114242190543528,-1.115214003301283,-1.055960839861698
-1.3095397291882582,-1.1149258107828117,-1.0544481966333574
-1.3076594433633917,-1.114157872899141,-1.0529389279068433
-1.305783339568007,-1.1127333830121044,-1.0514330160137568
-1.3039113959581128,-1.1123147910804891,-1.0499304434203525
-1.3020435908557617,-1.112271928716042,-1.0484311927261651
-1.3001799027473884,-1.1092973086532791,-1.0469352466626758
-1.2983203102821408,-1.10779348826754,-1.0454425880919722
-1.2964647922702541,-1.0997500395087556,-1.0439532000054441
-1.2946133276814271,-1.0980724112170523,-1.0424670655224788
-1.2927658956432382,-1.0970589186568498,-1.0409841678891913
-1.2909224754395605,-1.0892868515642629,-1.0395044904771509
-1.2890830465090113,-1.0875285239489534,-1.038028016782137
-1.2872475884434191,-1.0873779193931044,-1.0365547304229086
-1.2854160809862987,-1.0872958613341297,-1.0350846151399806
-1.2835885040313573,-1.0860649958538289,-1.0336176547944242
-1.2817648376210147,-1.0839207938782316,-1.0321538333666798
-1.2799450619449415,-1.0833719902675192,-1.0306931349553818
-1.278129157338613,-1.082568135762573,-1.029235543776201
-1.2763171042818835,-1.0789856569191818,-1.027781044160697
-1.2745088833975766,-1.0768621186432368,-1.0263296205551886
-1.2727044754500954,-1.0766760963479567,-1.024881257519638
-1.270903861344046,-1.076512240956138,-1.0234359397265447
-1.2691070221228757,-1.075216036086985,-1.0219936519598545
-1.2673139389675372,-1.074707159388694,-1.0205543791138851
-1.265524593195156,-1.0703271298108834,-1.019118106192258
-1.2637389662577254,-1.0701575486840385,-1.0176848183068503
-1.2619570397408078,-1.0697198229702383,-1.0162545006767523
-1.2601787953622572,-1.0691025453227927,-1.0148271386272425
-1.2584042149709571,-1.068901909260827,-1.0134027175887739
-1.256633280545569,-1.0637124155349822,-1.01198122309597
-1.254865974193298,-1.0621632103330616,-1.010562640786633
-1.2531022781486758,-1.0616033890215228,-1.0091469564007691
-1.2513421747723534,-1.061240332506869,-1.007734155779617
